epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,62.4864,3.26534,5.48546,4.25706,0,0,0,0,3.39202,5.32452,4.16457,2.11444e-05,2.11444e-05,2.11444e-05
80,63.3005,2.90722,5.54633,4.28676,0,0,0,0,3.39202,5.32452,4.16457,2.04848e-05,2.04848e-05,2.04848e-05
81,64.0695,3.65619,5.82394,4.25664,0,0,0,0,3.39229,5.32245,4.16557,1.98016e-05,1.98016e-05,1.98016e-05
82,64.8563,3.24421,5.33732,4.25803,0,0,0,0,3.39229,5.32245,4.16557,1.90949e-05,1.90949e-05,1.90949e-05
83,65.5631,2.90866,5.5063,4.2125,0,0,0,0,3.39229,5.32245,4.16557,1.83646e-05,1.83646e-05,1.83646e-05
84,66.3189,3.258,5.32567,4.27946,0,0,0,0,3.39318,5.32142,4.16693,1.76107e-05,1.76107e-05,1.76107e-05
85,67.0314,3.04777,5.40602,4.20228,0,0,0,0,3.39318,5.32142,4.16693,1.68333e-05,1.68333e-05,1.68333e-05
86,67.8046,3.36856,5.43458,4.18362,0,0,0,0,3.39318,5.32142,4.16693,1.60323e-05,1.60323e-05,1.60323e-05
87,68.6896,3.05705,5.21937,4.18843,0,0,0,0,3.39318,5.32142,4.16693,1.52077e-05,1.52077e-05,1.52077e-05
88,69.4727,2.9526,5.37649,4.25119,0,0,0,0,3.38936,5.32165,4.16784,1.43596e-05,1.43596e-05,1.43596e-05
89,70.2495,2.81498,5.40808,4.24658,0,0,0,0,3.38936,5.32165,4.16784,1.34879e-05,1.34879e-05,1.34879e-05
90,70.9782,3.29143,5.59426,4.20246,0,0,0,0,3.38936,5.32165,4.16784,1.25927e-05,1.25927e-05,1.25927e-05
91,72.4774,2.87284,5.76187,4.26532,0,0,0,0,3.38936,5.32165,4.16784,1.16739e-05,1.16739e-05,1.16739e-05
92,73.3188,2.88252,5.77333,4.25729,0,0,0,0,3.38772,5.32437,4.16898,1.07315e-05,1.07315e-05,1.07315e-05
93,74.1117,2.88686,5.75995,4.26127,0,0,0,0,3.38772,5.32437,4.16898,9.76562e-06,9.76562e-06,9.76562e-06
94,74.8168,2.95999,5.51536,4.26311,0,0,0,0,3.38772,5.32437,4.16898,8.77613e-06,8.77613e-06,8.77613e-06
95,75.6596,2.49471,5.62546,4.22278,0,0,0,0,3.38772,5.32437,4.16898,7.76308e-06,7.76308e-06,7.76308e-06
96,76.432,2.64678,5.63019,4.24554,0,0,0,0,3.3944,5.32372,4.17028,6.72648e-06,6.72648e-06,6.72648e-06
97,77.289,2.65769,5.58636,4.35456,0,0,0,0,3.3944,5.32372,4.17028,5.6663e-06,5.6663e-06,5.6663e-06
98,77.9993,2.67538,5.54558,4.23105,0,0,0,0,3.3944,5.32372,4.17028,4.58257e-06,4.58257e-06,4.58257e-06
99,78.7363,2.67794,5.7817,4.19905,0,0,0,0,3.3944,5.32372,4.17028,3.47528e-06,3.47528e-06,3.47528e-06
100,79.4955,3.05152,5.69305,4.24301,0,0,0,0,3.39022,5.32321,4.17233,2.34442e-06,2.34442e-06,2.34442e-06
